brand_EN,brand_CH,product,score
ORIGINS,品木宣言,青春無敵調理機能水,6.2
ALBION,,健康化妝水N,6.2
Hada-Labo,肌研,極潤金緻特濃保濕精華水,6.1
Hada-Labo,肌研,極潤健康化粧水,6.1
LANCOME,蘭蔻,菁萃亮妍能量精露(水潤型) DAILY LOTION-IN-GEL,6.1
URIAGE,優麗雅,等滲透壓活泉噴霧 Spa Water,6.1
SHISEIDO,資生堂-國際櫃,嘉美艷容露 Revitalizing cream,6.1
,Zephyrine初時肌,玫瑰精萃超導修護露,6.0
DR.WU,達爾膚醫美保養系列,杏仁酸青春精華露,6.0
freeplus,,保濕修護化粧水(滋潤型),6.0
Whoo,后,天氣丹華炫重生水,5.9
,專科,保濕專科化粧水(清爽型),5.9
MUJI,無印良品,敏感肌化妝水(保濕型) LIGHT TONING WATER HIGH MOISTURE,5.9
ERH,英瑞其,透皙明亮喚采機能水 ULTRA-BRIGHTENING WHITENING LOTION,5.9
CHANEL,香奈兒,深層保濕高機能奈米化妝水 HYDRAMAX+ ACTIVE NANOLOTION,5.9
SOFINA,蘇菲娜,芯美顏 滲透露,5.9
kuanyuanlian,廣源良,菜瓜水,5.9
LA ROCHE-POSAY,理膚寶水,溫泉舒緩噴液 Thermal Spring Water,5.9
kuanyuanlian,廣源良,蘆薈凝膠柔膚水,5.9
kuanyuanlian,廣源良,噴霧式菜瓜水,5.9
Hada-Labo,肌研,白潤高效集中淡斑化粧水(清爽型),5.9
LANCOME,蘭蔻,菁萃亮妍能量泡泡精露,5.9
IOPE,,青春活顏菁粹 BIO ESSENCE,5.9
WHITE FORMULA,自白肌,玻尿酸清爽保濕化粧水,5.9
LA MER,海洋拉娜,濃縮精華露 Treatment Lotion,5.9
VINATA,,台酒酒粕精粹活膚青春露,5.9
,+ONE%歐恩伊,青春活膚調理露,5.9
NARUKO,牛爾親研,茶樹控油痘痘粉刺露,5.9
Hada-Labo,肌研,極潤保濕化粧水(清爽型),5.9
Soo Rye Han,秀麗韓,酵 飛燕御藏水凝露 Hyo Fermented Toner,5.9
DR.WU,達爾膚醫美保養系列,玻尿酸保濕化妝水  INTENSIVE HYDRATING TONER WITH HYALURONIC ACID,6.0
Neogence,霓淨思,肌滲透前導菁露,6.0
ORBIS,,潤澤活顏化妝水,6.0
Hada-Labo,肌研,極潤保濕化粧水-清爽型(升級版),6.0
Hada-Labo,肌研,極潤保濕化粧水(升級版),6.0
AVIVA,,保濕美白機能化妝水,6.0
SHISEIDO,資生堂-東京櫃,莉薇特麗抗皺精露AA Revital Retino Science Lotion AA,6.0
Avene,雅漾,舒護活泉水 Thermal Spring Water,6.0
LANCOME,蘭蔻,絕對完美玫瑰花瓣精露,5.9
SOFINA,蘇菲娜,透美顏飽水控油雙效化妝水,5.9
KIEHL`S,契爾氏,金盞花植物精華化妝水 Calendula Herbal Extract Toner,5.9
SHISEIDO,資生堂-國際櫃,紅色夢露 Revitalizing Essence,5.9
KOSE,高絲-專櫃,藥用雪肌精,5.9
THE FACE SHOP,菲詩小舖,蘂花譚清新恆水凝露,5.8
SOFINA,蘇菲娜,芯美顏保濕滲透露升級版(清爽型),5.8
WHITE FORMULA,自白肌,玻尿酸濃密保濕化粧水,5.8
Hada-Labo,肌研,白潤美白化粧水-潤澤型(升級版),5.8
CLARINS,克蘭詩,洋甘菊化妝水 Toning Lotion With Camomile,5.8
SK-II品牌活動中,,男士活能青春露,5.8
LANCOME,蘭蔻,超水妍舒緩保濕凝露(升級版) HYDRA ZEN NEOCALM Multi-Relief Anti-Stress Moisturizing Aqua Gel,5.8
Hada-Labo,肌研,極潤alpha緊緻彈力保濕化粧水(清爽型),5.7
AYURA,,不調姬敏弱律化活感平衡液,5.7
SOFINA,蘇菲娜,芯美顏美白瀅潤滲透露(清爽型),5.7
BEVY C.,妝前保養,水潤肌保濕化妝水 SUPER HYDRO LOTION,5.7
Hada-Labo,肌研,極潤alpha緊緻彈力保濕化粧水(升級版),5.7
Neogence,霓淨思,玻尿酸深度潤澤化妝水,5.7
NU derma,新德曼微整概念保養,高機能鑽白彈力露 Super Aqua Lotion,5.7
GUERLAIN,嬌蘭,皇家蜂王乳提顏凝露,5.7
SK-II品牌活動中,,環采鑽白潤透晶露,5.7
Hada-Labo,肌研,極潤alpha緊緻彈力保濕化粧水,5.7
Centella,仙提拉,匈牙利皇后青春露 Hungary's Royal Water Lotion,5.8
Hypanique,涵沛,涵沛吟釀青春精露,5.8
